DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSORE COMMR.,2013,30,28,2,19,0,19,22,16,6,11,2,151,125,580,424,156,71,17,236,8,0,341,12,11,1,43,0,0,1206,2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSORE RURAL,2013,66,45,2,26,0,26,55,6,49,8,2,34,220,341,143,198,258,6,98,2,16,869,14,69,0,64,0,0,1921,4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,2013,47,46,0,43,0,43,24,12,12,8,0,13,67,156,78,78,294,8,108,2,4,639,3,156,0,162,0,8,1274,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAILWAYS,2013,18,4,0,1,0,1,3,0,3,7,0,65,2,726,8,718,0,1,8,4,0,16,2,3,0,0,0,7,46,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGAR,2013,51,71,1,21,0,21,43,41,2,19,9,92,273,507,271,236,250,10,68,2,53,620,11,141,0,57,0,0,2064,4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIMOGA,2013,44,65,2,43,0,43,67,51,16,10,7,66,191,340,147,193,330,14,217,1,15,1367,5,267,4,300,0,8,2580,5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMKUR,2013,58,49,2,37,0,37,41,16,25,10,7,90,210,421,198,223,201,26,157,0,18,741,14,206,0,87,0,32,2422,4829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDUPI,2013,20,26,0,22,0,22,23,11,12,7,3,41,110,120,45,75,128,6,146,0,7,332,2,67,0,78,0,5,1524,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTAR KANNADA,2013,18,24,0,17,0,17,51,38,13,4,1,35,67,99,38,61,128,7,138,0,11,482,6,155,13,94,0,0,1627,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YADGIRI,2013,33,31,1,16,0,16,29,23,6,1,0,8,46,54,29,25,204,0,30,0,2,558,3,123,0,61,0,131,158,1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZ TOTAL,2013,1601,1984,92,1030,1,1029,1836,1359,477,280,512,2150,6003,19756,9559,10197,7237,477,6598,66,332,21118,277,3913,137,3276,0,897,57117,136689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Bagalkote,524,Bagalkot,37,47,1,0,27,0,39,5,0,15,77,242,0,139,7,76,11,1,10,26,3,101,0,54,0,342,1,0,0,0,534,0,0,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Bengaluru Urban,525,Bengaluru City,229,590,20,1,321,3,974,101,340,789,1647,10578,19,524,105,3309,52,39,137,220,57,820,51,489,0,943,3,4,151,2,4546,6,2,18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Bengaluru Urban,525,Bengaluru District,72,76,6,0,59,0,178,10,26,96,289,737,0,261,34,343,20,2,25,16,6,124,0,101,0,670,0,0,0,0,1682,0,0,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Belagavi,527,Belagavi District,73,101,1,0,65,0,64,6,1,20,140,220,0,370,22,128,12,1,12,110,2,180,3,130,0,629,0,0,4,0,1407,0,1,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Ballari,528,Ballari,39,78,3,4,62,0,104,5,2,46,165,274,0,246,23,163,9,0,5,9,9,126,6,46,0,337,0,0,2,0,835,0,0,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Bidar,529,Bidar,50,84,1,63,17,4,51,2,6,24,117,196,0,159,11,60,2,0,12,43,8,78,5,89,0,271,0,0,8,0,1101,0,0,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Vijayapura,530,Vijayapura,75,65,1,0,50,0,58,7,6,28,117,253,0,225,5,77,7,0,6,54,3,102,3,114,0,374,0,0,0,0,791,0,0,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Chikkaballapura,630,Chikkaballapura,38,52,0,0,73,0,50,1,4,34,88,177,0,218,5,78,8,1,14,13,6,63,0,21,0,242,0,0,6,0,483,0,0,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Chamarajanagara,531,Chamarajnagar,26,62,0,0,20,1,23,2,0,14,56,103,27,97,2,108,2,0,5,12,3,123,0,16,0,141,0,0,0,0,425,1,0,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,32,65,6,0,50,0,52,14,1,33,118,219,0,125,4,84,11,0,12,20,5,209,2,74,0,204,0,0,0,0,753,0,0,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Chitradurga,533,Chitradurga,32,34,2,0,32,0,109,6,0,55,116,307,0,209,10,80,9,2,10,10,12,239,2,55,0,364,0,0,0,0,1429,0,0,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,18,28,0,0,34,0,19,8,3,21,93,179,0,100,7,62,7,2,4,8,0,65,5,19,0,170,0,1,1,0,831,0,1,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Davangere,535,Davanagere,40,35,0,0,42,0,83,2,2,27,117,282,0,232,7,95,13,0,13,44,3,182,0,62,0,301,1,1,4,0,907,0,0,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Dharwad,536,Dharwad,21,29,0,0,13,0,23,2,0,8,33,96,0,99,2,29,2,1,1,22,1,29,0,29,0,175,0,0,0,0,318,0,0,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
