DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dharwad,536,Dharwad,1,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,120,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,228,0,0,8,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Belagavi,527,Belagavi District,8,2,0,0,90,0,1,0,1,0,39,10,0,0,7,0,0,1,2,2,2,0,13,2,0,0,0,0,0,261,0,0,359,17,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,620,0,0,25,0,0,0,0,1,0,0,0,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Ballari,528,Ballari,73,9,0,0,42,0,1,0,6,0,0,0,1,1,3,0,0,0,0,0,0,2,11,4,0,0,0,0,0,181,0,0,370,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,777,0,0,16,0,0,0,0,10,0,0,0,0,47,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bidar,529,Bidar,37,3,0,0,36,0,1,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,171,1,9,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,347,1,0,29,0,0,0,0,0,0,0,0,0,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Vijayapura,530,Vijayapura,0,2,0,0,48,1,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,2,0,0,0,0,0,194,0,0,231,0,15,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,521,0,1,6,0,0,0,0,0,0,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chikkaballapura,630,Chikkaballapura,14,6,0,0,84,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,10,2,0,0,0,0,0,65,0,0,81,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,257,0,0,30,0,0,1,1,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chamarajanagara,531,Chamarajnagar,10,3,0,0,28,0,1,0,3,0,0,0,0,0,1,0,0,0,0,2,0,3,9,0,0,4,0,0,0,73,0,0,544,0,46,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,230,5,0,2,0,0,0,0,1,0,0,0,0,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,11,0,0,0,69,1,2,0,0,0,1,0,0,0,3,0,0,2,10,0,1,1,17,0,0,0,0,0,0,6,0,0,272,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,164,1,0,1,1,0,0,0,1,0,0,0,0,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chitradurga,533,Chitradurga,29,4,0,0,29,0,2,0,2,0,0,0,2,0,4,0,0,0,0,0,2,2,7,2,0,0,0,0,0,107,0,0,320,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,520,6,1,9,0,0,0,0,3,0,0,3,0,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,3,0,0,0,50,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,10,0,0,0,0,0,0,26,0,0,123,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,1,0,6,0,0,0,0,1,0,0,0,0,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Davangere,535,Davanagere,66,11,0,0,58,0,2,0,2,0,1,0,0,0,2,0,0,0,0,0,1,1,17,1,0,0,0,0,0,39,0,0,301,14,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,2,0,627,0,0,5,2,0,0,0,0,0,0,0,0,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Sikkim,11,Mangan,226,North,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Gadag,537,Gadag,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,310,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,397,0,0,8,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kalaburagi,538,Kalaburgi,39,11,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,16,3,0,0,0,0,0,300,0,0,160,10,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,548,0,0,14,0,0,0,2,0,0,0,0,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Hassan,539,Hassan,83,3,0,0,78,0,6,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,17,0,0,0,0,0,0,64,0,0,509,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,109,4,0,26,0,0,0,0,0,0,0,1,0,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Haveri,540,Haveri,20,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,412,0,0,3,0,0,0,0,0,0,0,0,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dharwad,536,Hubballi Dharwad City,0,5,0,0,21,1,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,33,2,0,0,0,0,0,1,0,0,40,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,21,0,0,0,0,0,0,0,0,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Belagavi,527,K.G.F.,8,0,0,0,21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,18,1,0,0,0,0,0,1,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,9,0,0,0,0,0,0,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kodagu,541,Kodagu,0,0,0,0,36,2,0,0,0,0,2,0,0,0,0,1,0,0,5,0,1,1,12,0,0,5,0,0,0,6,0,0,53,22,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,5,0,0,0,0,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kolar,542,Kolar,23,0,0,0,48,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,1,3,18,0,0,0,0,0,0,1,0,0,48,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,96,0,0,14,1,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Koppal,543,Koppal,12,1,0,0,54,1,9,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,404,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,762,0,0,13,0,0,0,0,2,0,0,0,0,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Mandya,544,Mandya,23,10,0,0,76,0,7,0,2,0,0,0,0,0,1,0,0,1,1,0,0,8,6,1,0,1,0,0,0,137,0,0,553,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,189,0,2,15,0,0,0,0,2,0,0,0,0,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dakshina Kannada,534,Mangaluru City,12,24,0,0,35,5,1,0,0,0,8,1,0,0,1,0,0,0,2,0,1,0,77,3,0,0,0,0,0,1,0,0,3,147,51,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,77,0,0,13,0,0,0,0,10,0,0,0,0,5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Mysuru,545,Mysuru City,77,17,0,1,39,3,0,0,2,0,1,0,0,0,4,0,0,0,2,0,0,0,21,7,1,0,0,0,0,0,0,0,136,14,3,7,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,93,0,0,5,0,0,0,0,1,0,0,1,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Mysuru,545,Mysuru District,27,9,0,0,57,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,2,1,0,0,0,0,0,32,0,0,413,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,143,2,0,27,0,0,11,0,0,0,0,0,0,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Raichur,546,Raichur,47,2,0,0,40,1,2,0,9,0,2,0,0,0,1,0,0,0,0,0,0,2,6,2,0,0,0,0,0,235,0,0,181,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,531,0,0,0,0,0,0,0,0,0,0,7,0,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bengaluru Urban,525,K.Railways,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Ramanagara,631,Ramanagara,20,0,0,0,35,1,3,0,6,0,2,0,0,0,1,0,0,0,3,0,2,4,10,3,0,1,0,0,0,37,0,0,60,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,97,0,0,23,0,0,3,0,2,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Shivamogga,547,Shimoga,4,0,0,0,100,3,5,0,0,0,0,0,0,0,6,0,0,2,5,2,0,2,52,4,0,0,0,0,0,93,0,0,465,57,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,591,1,0,25,0,0,0,3,0,0,0,0,0,39,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Tumakuru,548,Tumakuru,94,1,0,0,53,0,6,0,0,0,6,7,0,0,4,0,0,0,0,4,0,2,14,0,0,0,0,0,0,39,0,0,220,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,699,0,0,10,0,0,0,1,0,0,0,0,0,60,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Udupi,549,Udupi,22,2,0,0,73,3,2,0,0,0,8,0,0,0,2,0,0,1,1,0,1,0,22,1,0,0,0,0,0,36,0,0,23,92,13,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,388,0,1,20,0,0,0,0,0,0,0,0,0,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Uttara Kannada,550,Uttara Kannada,14,5,0,0,37,2,1,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,22,2,0,0,0,0,0,56,1,0,186,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,379,2,0,7,0,0,0,0,0,0,0,0,0,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Yadgir,635,Yadgiri,18,1,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,93,0,0,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,2,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Belagavi,527,Belagavi City,25,6,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,12,0,0,101,20,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,164,0,0,14,0,0,0,0,0,0,0,0,0,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bagalkote,524,Bagalkot,25,0,0,0,37,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,6,5,0,0,0,0,0,75,0,0,222,1,2,1,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,585,0,0,19,0,0,0,0,0,0,0,0,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru City,692,80,0,0,406,17,4,0,15,0,12,0,0,0,36,0,0,7,9,21,2,1,5253,98,0,0,14,0,0,14,0,0,177,2,284,48,16,0,0,185,0,0,79,12,0,0,0,0,1,0,0,0,8,0,0,0,318,0,0,74,0,0,0,1,898,0,0,0,2,290,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru District,27,4,0,0,52,3,3,0,1,0,1,0,0,0,2,0,0,0,0,4,1,0,18,0,0,0,0,0,0,105,0,0,138,0,20,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,156,0,0,5,0,0,2,0,0,0,0,0,0,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dharwad,536,Dharwad,1,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,120,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,228,0,0,8,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Belagavi,527,Belagavi District,8,2,0,0,90,0,1,0,1,0,39,10,0,0,7,0,0,1,2,2,2,0,13,2,0,0,0,0,0,261,0,0,359,17,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,620,0,0,25,0,0,0,0,1,0,0,0,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Ballari,528,Ballari,73,9,0,0,42,0,1,0,6,0,0,0,1,1,3,0,0,0,0,0,0,2,11,4,0,0,0,0,0,181,0,0,370,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,777,0,0,16,0,0,0,0,10,0,0,0,0,47,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bidar,529,Bidar,37,3,0,0,36,0,1,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,171,1,9,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,347,1,0,29,0,0,0,0,0,0,0,0,0,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Vijayapura,530,Vijayapura,0,2,0,0,48,1,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,2,0,0,0,0,0,194,0,0,231,0,15,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,521,0,1,6,0,0,0,0,0,0,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chikkaballapura,630,Chikkaballapura,14,6,0,0,84,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,10,2,0,0,0,0,0,65,0,0,81,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,257,0,0,30,0,0,1,1,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chamarajanagara,531,Chamarajnagar,10,3,0,0,28,0,1,0,3,0,0,0,0,0,1,0,0,0,0,2,0,3,9,0,0,4,0,0,0,73,0,0,544,0,46,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,230,5,0,2,0,0,0,0,1,0,0,0,0,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,11,0,0,0,69,1,2,0,0,0,1,0,0,0,3,0,0,2,10,0,1,1,17,0,0,0,0,0,0,6,0,0,272,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,164,1,0,1,1,0,0,0,1,0,0,0,0,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Chitradurga,533,Chitradurga,29,4,0,0,29,0,2,0,2,0,0,0,2,0,4,0,0,0,0,0,2,2,7,2,0,0,0,0,0,107,0,0,320,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,520,6,1,9,0,0,0,0,3,0,0,3,0,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,3,0,0,0,50,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,10,0,0,0,0,0,0,26,0,0,123,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,1,0,6,0,0,0,0,1,0,0,0,0,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Davangere,535,Davanagere,66,11,0,0,58,0,2,0,2,0,1,0,0,0,2,0,0,0,0,0,1,1,17,1,0,0,0,0,0,39,0,0,301,14,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,2,0,627,0,0,5,2,0,0,0,0,0,0,0,0,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Sikkim,11,Mangan,226,North,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Gadag,537,Gadag,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,310,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,397,0,0,8,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kalaburagi,538,Kalaburgi,39,11,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,16,3,0,0,0,0,0,300,0,0,160,10,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,548,0,0,14,0,0,0,2,0,0,0,0,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Hassan,539,Hassan,83,3,0,0,78,0,6,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,17,0,0,0,0,0,0,64,0,0,509,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,109,4,0,26,0,0,0,0,0,0,0,1,0,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Haveri,540,Haveri,20,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,412,0,0,3,0,0,0,0,0,0,0,0,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dharwad,536,Hubballi Dharwad City,0,5,0,0,21,1,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,33,2,0,0,0,0,0,1,0,0,40,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,21,0,0,0,0,0,0,0,0,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Belagavi,527,K.G.F.,8,0,0,0,21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,18,1,0,0,0,0,0,1,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,9,0,0,0,0,0,0,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kodagu,541,Kodagu,0,0,0,0,36,2,0,0,0,0,2,0,0,0,0,1,0,0,5,0,1,1,12,0,0,5,0,0,0,6,0,0,53,22,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,5,0,0,0,0,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Kolar,542,Kolar,23,0,0,0,48,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,1,3,18,0,0,0,0,0,0,1,0,0,48,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,96,0,0,14,1,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Koppal,543,Koppal,12,1,0,0,54,1,9,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,404,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,762,0,0,13,0,0,0,0,2,0,0,0,0,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Mandya,544,Mandya,23,10,0,0,76,0,7,0,2,0,0,0,0,0,1,0,0,1,1,0,0,8,6,1,0,1,0,0,0,137,0,0,553,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,189,0,2,15,0,0,0,0,2,0,0,0,0,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Dakshina Kannada,534,Mangaluru City,12,24,0,0,35,5,1,0,0,0,8,1,0,0,1,0,0,0,2,0,1,0,77,3,0,0,0,0,0,1,0,0,3,147,51,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,77,0,0,13,0,0,0,0,10,0,0,0,0,5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Mysuru,545,Mysuru City,77,17,0,1,39,3,0,0,2,0,1,0,0,0,4,0,0,0,2,0,0,0,21,7,1,0,0,0,0,0,0,0,136,14,3,7,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,93,0,0,5,0,0,0,0,1,0,0,1,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
