State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,567,0082,606986,0000,000000,KARNATAKA,Davanagere,VILLAGE,Ramagondanahalli,Rural,111,530,261,269,53,30,23,31,15,16,12,7,5,320,175,145,210,86,124,266,173,93,80,62,18,43,43,0,22,9,13,2,1,1,13,9,4,186,111,75,14,14,0,130,71,59,25,15,10,17,11,6,181,107,74,14,14,0,130,71,59,23,14,9,14,8,6,5,4,1,0,0,0,0,0,0,2,1,1,3,3,0,264,88,176
29,567,0082,606987,0000,000000,KARNATAKA,Davanagere,VILLAGE,Devarahalli,Rural,967,4759,2482,2277,427,230,197,431,243,188,306,165,141,2936,1707,1229,1823,775,1048,2075,1322,753,1839,1231,608,1045,753,292,438,235,203,12,9,3,344,234,110,236,91,145,14,8,6,166,45,121,9,6,3,47,32,15,222,85,137,13,7,6,161,42,119,6,6,0,42,30,12,14,6,8,1,1,0,5,3,2,3,0,3,5,2,3,2684,1160,1524
29,567,0082,606988,0000,000000,KARNATAKA,Davanagere,VILLAGE,Kondadahalli,Rural,360,1620,823,797,121,63,58,105,55,50,348,176,172,1247,677,570,373,146,227,855,592,263,454,324,130,211,196,15,186,83,103,1,1,0,56,44,12,401,268,133,152,146,6,56,26,30,7,6,1,186,90,96,397,265,132,152,146,6,52,23,29,7,6,1,186,90,96,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,765,231,534
29,567,0082,606989,0000,000000,KARNATAKA,Davanagere,VILLAGE,Nuggehalli,Rural,371,1705,844,861,169,85,84,74,37,37,228,105,123,1254,659,595,451,185,266,656,511,145,331,307,24,176,172,4,24,22,2,20,16,4,111,97,14,325,204,121,20,14,6,23,13,10,15,8,7,267,169,98,231,157,74,19,13,6,14,11,3,11,8,3,187,125,62,94,47,47,1,1,0,9,2,7,4,0,4,80,44,36,1049,333,716
29,567,0082,606990,0000,000000,KARNATAKA,Davanagere,VILLAGE,Honnemaradahalli,Rural,123,504,258,246,50,29,21,112,53,59,4,3,1,367,203,164,137,55,82,226,161,65,133,123,10,30,28,2,13,13,0,0,0,0,90,82,8,93,38,55,7,5,2,6,4,2,0,0,0,80,29,51,74,27,47,5,4,1,6,4,2,0,0,0,63,19,44,19,11,8,2,1,1,0,0,0,0,0,0,17,10,7,278,97,181
29,567,0082,606991,0000,000000,KARNATAKA,Davanagere,VILLAGE,Bommenahalli,Rural,48,221,118,103,9,4,5,0,0,0,10,7,3,195,108,87,26,10,16,87,82,5,74,69,5,47,45,2,8,8,0,2,2,0,17,14,3,13,13,0,4,4,0,0,0,0,1,1,0,8,8,0,10,10,0,4,4,0,0,0,0,1,1,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,134,36,98
29,567,0082,606992,0000,000000,KARNATAKA,Davanagere,VILLAGE,Neethigere,Rural,263,1053,516,537,81,43,38,201,99,102,86,42,44,731,399,332,322,117,205,456,330,126,298,240,58,219,182,37,30,21,9,8,7,1,41,30,11,158,90,68,1,1,0,141,76,65,4,2,2,12,11,1,157,89,68,1,1,0,141,76,65,4,2,2,11,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,597,186,411
29,567,0082,606993,0000,000000,KARNATAKA,Davanagere,VILLAGE,Chikkadevarahalli,Rural,18,79,42,37,10,6,4,0,0,0,0,0,0,57,33,24,22,9,13,47,29,18,45,29,16,24,24,0,0,0,0,0,0,0,21,5,16,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,19
29,567,0082,606994,0000,000000,KARNATAKA,Davanagere,VILLAGE,Ramenahalli,Rural,217,986,497,489,97,50,47,769,388,381,0,0,0,596,339,257,390,158,232,609,309,300,229,215,14,54,54,0,143,135,8,5,2,3,27,24,3,380,94,286,22,20,2,52,42,10,52,8,44,254,24,230,228,72,156,16,15,1,38,33,5,26,6,20,148,18,130,152,22,130,6,5,1,14,9,5,26,2,24,106,6,100,377,188,189
29,567,0082,606995,0000,000000,KARNATAKA,Davanagere,VILLAGE,Kenchapura,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,567,0082,606996,0000,000000,KARNATAKA,Davanagere,VILLAGE,Yeragattihalli,Rural,177,774,390,384,75,45,30,106,50,56,3,2,1,575,313,262,199,77,122,355,254,101,321,251,70,181,174,7,98,47,51,0,0,0,42,30,12,34,3,31,1,0,1,31,1,30,0,0,0,2,2,0,30,3,27,1,0,1,27,1,26,0,0,0,2,2,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,419,136,283
29,567,0082,606997,0000,000000,KARNATAKA,Davanagere,VILLAGE,Neethigere Camp,Rural,66,324,163,161,24,11,13,317,161,156,0,0,0,220,131,89,104,32,72,169,105,64,167,104,63,110,71,39,45,23,22,0,0,0,12,10,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,58,97
29,567,0082,606998,0000,000000,KARNATAKA,Davanagere,VILLAGE,Hiregangoor,Rural,320,1326,655,671,121,74,47,135,69,66,245,118,127,846,440,406,480,215,265,678,404,274,383,364,19,212,208,4,115,113,2,4,4,0,52,39,13,295,40,255,7,3,4,275,33,242,3,2,1,10,2,8,291,39,252,6,2,4,272,33,239,3,2,1,10,2,8,4,1,3,1,1,0,3,0,3,0,0,0,0,0,0,648,251,397
29,567,0082,606999,0000,000000,KARNATAKA,Davanagere,VILLAGE,Chikgangoor,Rural,404,1857,927,930,155,69,86,575,293,282,76,33,43,1235,703,532,622,224,398,896,606,290,850,590,260,334,310,24,380,195,185,1,1,0,135,84,51,46,16,30,7,6,1,6,0,6,0,0,0,33,10,23,43,14,29,7,6,1,6,0,6,0,0,0,30,8,22,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,961,321,640
29,567,0082,607000,0000,000000,KARNATAKA,Davanagere,VILLAGE,Lakshmisagar,Rural,87,332,169,163,39,22,17,133,60,73,135,75,60,203,119,84,129,50,79,216,111,105,214,110,104,146,78,68,66,30,36,0,0,0,2,2,0,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,58,58
29,567,0082,607001,0000,000000,KARNATAKA,Davanagere,VILLAGE,Kortikere,Rural,358,1385,705,680,128,67,61,152,79,73,37,15,22,925,548,377,460,157,303,756,449,307,657,410,247,429,272,157,138,77,61,7,6,1,83,55,28,99,39,60,58,21,37,27,10,17,4,4,0,10,4,6,79,31,48,42,16,26,26,10,16,2,2,0,9,3,6,20,8,12,16,5,11,1,0,1,2,2,0,1,1,0,629,256,373
